,var1,var2,target,correlation_between_vars,pvalue_between_vars,correlation_var1_target,pvalue_var1_target,correlation_var2_target,pvalue_var2_target
537,accommodates,bathrooms,booked_up_target,0.14539326105297587,0.0,-0.13816239372347494,0.0,-0.028514003251293062,1.0051441188790907e-29
95,avg_dollar_price_in_previous_period,host_total_listings_count,booked_up_target,0.14533207014173233,0.0,-0.12045325898102326,7.034347248564516e-251,-0.2675121518317726,0.0
403,availability_365,accommodates,booked_up_target,0.14405454812721466,0.0,-0.7883671841456359,0.0,-0.13816239372347494,0.0
412,availability_365,guests_included,booked_up_target,0.14393316417205462,0.0,-0.7883671841456359,0.0,-0.13652558379294602,0.0
652,weekly_price,availability_30,booked_up_target,0.14377944996748568,4.6459095793717643e-119,-0.18314289538626416,3.6048812875063117e-193,-0.42164402061973216,0.0
246,minimum_nights,monthly_price,booked_up_target,0.143524553225843,3.0983297382863958e-86,-0.01939781383557405,1.2798160805315371e-14,-0.19150651222022122,3.0437457760240204e-153
677,monthly_price,review_scores_cleanliness,booked_up_target,0.1434869146956881,4.1596712700578154e-76,-0.19150651222022122,3.0437457760240204e-153,-0.03818798720697684,3.342329599585784e-42
491,host_total_listings_count,cleaning_fee,booked_up_target,0.14252730168033756,0.0,-0.2675121518317726,0.0,-0.2349468508731146,0.0
91,avg_dollar_price_in_previous_period,calculated_host_listings_count,booked_up_target,0.14094982839325385,0.0,-0.12045325898102326,7.034347248564516e-251,-0.26858612155055434,0.0
462,host_response_rate,square_feet,booked_up_target,0.14064320929039398,4.938126554806911e-09,0.05687099554886183,1.5078495060686141e-49,0.03708732291931967,0.038253134916969994
371,calculated_host_listings_count,accommodates,booked_up_target,0.13900267009929418,0.0,-0.26858612155055434,0.0,-0.13816239372347494,0.0
864,review_scores_value,concat_comments_subjectivity,booked_up_target,0.13843369573511619,0.0,0.1259661355614989,0.0,0.07094443584457692,1.922848046607934e-95
590,bedrooms,security_deposit,booked_up_target,0.13835824620404993,0.0,-0.07061960733809783,1.6117754842671819e-173,-0.12932632736775485,0.0
660,weekly_price,review_scores_location,booked_up_target,0.1383060155318978,3.400842767003398e-95,-0.18314289538626416,3.6048812875063117e-193,0.0325555520224436,4.227559708986262e-31
581,bathrooms,size,booked_up_target,0.13788690478544738,0.0,-0.028514003251293062,1.0051441188790907e-29,-0.10974459044601913,2.1892161157596222e-200
410,availability_365,security_deposit,booked_up_target,0.1378585338684794,0.0,-0.7883671841456359,0.0,-0.12932632736775485,0.0
238,minimum_nights,DaysPassed_host_since,booked_up_target,0.13693854229617583,0.0,-0.01939781383557405,1.2798160805315371e-14,-0.07963508153886854,3.716141030266451e-220
484,host_total_listings_count,accommodates,booked_up_target,0.13688892708043104,0.0,-0.2675121518317726,0.0,-0.13816239372347494,0.0
696,security_deposit,size,booked_up_target,0.13539000735087772,7.838265142304992e-305,-0.12932632736775485,0.0,-0.10974459044601913,2.1892161157596222e-200
658,weekly_price,review_scores_cleanliness,booked_up_target,0.13318957451969363,2.0499793896439938e-88,-0.18314289538626416,3.6048812875063117e-193,-0.03818798720697684,3.342329599585784e-42
273,number_of_reviews,host_total_listings_count,booked_up_target,0.13218912601558286,0.0,-0.2729557845542424,0.0,-0.2675121518317726,0.0
218,price,extra_people,booked_up_target,0.12950581068863645,0.0,-0.2053554322527973,0.0,-0.1755546907458696,0.0
618,beds,availability_90,booked_up_target,0.12871761746595872,0.0,-0.15576478758208406,0.0,-0.5596518136286611,0.0
337,reviews_per_month,host_response_rate,booked_up_target,0.12851065183097599,8.786619694887033e-224,-0.2668351808338874,0.0,0.05687099554886183,1.5078495060686141e-49
493,host_total_listings_count,extra_people,booked_up_target,0.1283643642747458,0.0,-0.2675121518317726,0.0,-0.1755546907458696,0.0
109,avg_dollar_price_in_previous_period,availability_30,booked_up_target,0.12808860949786793,1.1072458055560772e-283,-0.12045325898102326,7.034347248564516e-251,-0.42164402061973216,0.0
492,host_total_listings_count,guests_included,booked_up_target,0.12637544243842014,0.0,-0.2675121518317726,0.0,-0.13652558379294602,0.0
25,target_avg_dollar_price_in_period,maximum_nights,booked_up_target,0.12586914295002394,1.5275916719445235e-154,,,-0.071078975527342,6.683007734092576e-176
344,reviews_per_month,weekly_price,booked_up_target,0.12542832787046404,1.7243327519443356e-79,-0.2668351808338874,0.0,-0.18314289538626416,3.6048812875063117e-193
209,price,bathrooms,booked_up_target,0.12511064180537185,0.0,-0.2053554322527973,0.0,-0.028514003251293062,1.0051441188790907e-29
379,calculated_host_listings_count,cleaning_fee,booked_up_target,0.12497271139142893,0.0,-0.26858612155055434,0.0,-0.2349468508731146,0.0
678,monthly_price,review_scores_location,booked_up_target,0.12414113677529266,2.911772179138166e-57,-0.19150651222022122,3.0437457760240204e-153,0.0325555520224436,4.227559708986262e-31
9,target_avg_dollar_price_in_period,availability_365,booked_up_target,0.12409270433530198,3.1041758551157714e-150,,,-0.7883671841456359,0.0
204,price,DaysPassed_host_since,booked_up_target,0.1238529008597684,0.0,-0.2053554322527973,0.0,-0.07963508153886854,3.716141030266451e-220
477,host_response_rate,review_scores_communication,booked_up_target,0.12383804062690848,8.93693421148054e-205,0.05687099554886183,1.5078495060686141e-49,0.051294711507698695,1.0441928544136766e-74
550,accommodates,availability_90,booked_up_target,0.12365049385054958,0.0,-0.13816239372347494,0.0,-0.5596518136286611,0.0
593,bedrooms,extra_people,booked_up_target,0.12296837128711427,0.0,-0.07061960733809783,1.6117754842671819e-173,-0.1755546907458696,0.0
424,availability_365,size,booked_up_target,0.12252324452775894,1.2782361542059864e-249,-0.7883671841456359,0.0,-0.10974459044601913,2.1892161157596222e-200
201,price,reviews_per_month,booked_up_target,0.12174093298478227,0.0,-0.2053554322527973,0.0,-0.2668351808338874,0.0
617,beds,availability_60,booked_up_target,0.1217042644210186,0.0,-0.15576478758208406,0.0,-0.4970063557162694,0.0
381,calculated_host_listings_count,extra_people,booked_up_target,0.12087870319977093,0.0,-0.26858612155055434,0.0,-0.1755546907458696,0.0
453,DaysPassed_host_since,size,booked_up_target,0.1199973975788612,3.4985581569182434e-239,-0.07963508153886854,3.716141030266451e-220,-0.10974459044601913,2.1892161157596222e-200
77,occupancy_last_period,review_scores_value,booked_up_target,0.11985272063795886,0.0,0.6967989683315049,0.0,0.1259661355614989,0.0
549,accommodates,availability_60,booked_up_target,0.11960900630439289,0.0,-0.13816239372347494,0.0,-0.4970063557162694,0.0
348,reviews_per_month,guests_included,booked_up_target,0.11943493766219666,0.0,-0.2668351808338874,0.0,-0.13652558379294602,0.0
839,review_scores_cleanliness,concat_comments_subjectivity,booked_up_target,0.11938877113386952,8.00593418725399e-263,-0.03818798720697684,3.342329599585784e-42,0.07094443584457692,1.922848046607934e-95
830,review_scores_accuracy,concat_comments_subjectivity,booked_up_target,0.11916652848370272,8.815541694722244e-262,0.05483275856550795,3.9137567294075893e-85,0.07094443584457692,1.922848046607934e-95
269,number_of_reviews,calculated_host_listings_count,booked_up_target,0.1189311261751341,0.0,-0.2729557845542424,0.0,-0.26858612155055434,0.0
